Source,Target,Weight
EduardoRFS,TonhoCodes,31
EduardoRFS,devMozao,31
EduardoRFS,AdielSeffrin,86
EduardoRFS,dwtoledo,153
EduardoRFS,WonderWanny,70
EduardoRFS,ProfBrunoLopes,221
EduardoRFS,Kaduzius,159
EduardoRFS,Rychillie,178
EduardoRFS,dunossauro,165
EduardoRFS,clarisse_alvarenga,29
EduardoRFS,RacerXDL,396
EduardoRFS,bug_elseif,162
EduardoRFS,vcwild,56
EduardoRFS,paulorievrs_dev,12
EduardoRFS,GliderSpace,21
EduardoRFS,DevGiordane,48
EduardoRFS,tozeos,0
EduardoRFS,GiordaneOliveira,98
EduardoRFS,isabellalealx,118
EduardoRFS,ChicaoThiago,203
EduardoRFS,pyx_dev,40
EduardoRFS,xTecna,304
EduardoRFS,Tonelive,43
EduardoRFS,DaviBusanello,45
EduardoRFS,edersondeveloper,108
EduardoRFS,Seensh1,4
EduardoRFS,Canturil,182
EduardoRFS,Dininho,171
EduardoRFS,NevascaXD,145
EduardoRFS,CafeCodes,131
EduardoRFS,Cerato_cone,53
EduardoRFS,danielhe4rt,1072
EduardoRFS,CinderelaBugada,108
EduardoRFS,pokemaobr,350
EduardoRFS,PachiCodes,160
EduardoRFS,LuisVonMuller,27
EduardoRFS,levxyca,211
EduardoRFS,kastr0walker,24
EduardoRFS,BitToin,42
EduardoRFS,grandedev,196
EduardoRFS,isabellaherman,508
EduardoRFS,aleDsz,85
EduardoRFS,DornellesTv,59
EduardoRFS,teomewhy,233
EduardoRFS,CodigoFalado,280
EduardoRFS,marcobrunodev,936
EduardoRFS,xDIDAdev,186
EduardoRFS,adorilson,24
EduardoRFS,morgiovanelli,81
EduardoRFS,npxbr,11
EduardoRFS,jp_amis,153
EduardoRFS,rafaballerinii,228
EduardoRFS,julialabs,351
EduardoRFS,little_yuuh,8
EduardoRFS,lluan98,11
EduardoRFS,NadoSeven,18
EduardoRFS,GRSoares,87
EduardoRFS,PaulosmLins,25
EduardoRFS,italojs_,8
EduardoRFS,ChicaoCodes,38
EduardoRFS,Tearing5,79
EduardoRFS,PunkDoDevOps,222
EduardoRFS,primofrances,72
EduardoRFS,purplepizza92,60
TonhoCodes,devMozao,8
TonhoCodes,AdielSeffrin,22
TonhoCodes,dwtoledo,33
TonhoCodes,WonderWanny,12
TonhoCodes,ProfBrunoLopes,52
TonhoCodes,Kaduzius,46
TonhoCodes,Rychillie,13
TonhoCodes,dunossauro,23
TonhoCodes,clarisse_alvarenga,12
TonhoCodes,RacerXDL,23
TonhoCodes,bug_elseif,45
TonhoCodes,vcwild,18
TonhoCodes,paulorievrs_dev,3
TonhoCodes,GliderSpace,4
TonhoCodes,DevGiordane,10
TonhoCodes,tozeos,0
TonhoCodes,GiordaneOliveira,16
TonhoCodes,isabellalealx,42
TonhoCodes,ChicaoThiago,35
TonhoCodes,pyx_dev,14
TonhoCodes,xTecna,35
TonhoCodes,Tonelive,16
TonhoCodes,DaviBusanello,26
TonhoCodes,edersondeveloper,34
TonhoCodes,Seensh1,1
TonhoCodes,Canturil,25
TonhoCodes,Dininho,23
TonhoCodes,NevascaXD,19
TonhoCodes,CafeCodes,38
TonhoCodes,Cerato_cone,16
TonhoCodes,danielhe4rt,28
TonhoCodes,CinderelaBugada,27
TonhoCodes,pokemaobr,48
TonhoCodes,PachiCodes,42
TonhoCodes,LuisVonMuller,7
TonhoCodes,levxyca,40
TonhoCodes,kastr0walker,16
TonhoCodes,BitToin,12
TonhoCodes,grandedev,24
TonhoCodes,isabellaherman,23
TonhoCodes,aleDsz,11
TonhoCodes,DornellesTv,22
TonhoCodes,teomewhy,21
TonhoCodes,CodigoFalado,30
TonhoCodes,marcobrunodev,40
TonhoCodes,xDIDAdev,42
TonhoCodes,adorilson,7
TonhoCodes,morgiovanelli,29
TonhoCodes,npxbr,2
TonhoCodes,jp_amis,21
TonhoCodes,rafaballerinii,18
TonhoCodes,julialabs,46
TonhoCodes,little_yuuh,2
TonhoCodes,lluan98,5
TonhoCodes,NadoSeven,5
TonhoCodes,GRSoares,18
TonhoCodes,PaulosmLins,11
TonhoCodes,italojs_,3
TonhoCodes,ChicaoCodes,16
TonhoCodes,Tearing5,30
TonhoCodes,PunkDoDevOps,43
TonhoCodes,primofrances,22
TonhoCodes,purplepizza92,31
devMozao,AdielSeffrin,13
devMozao,dwtoledo,14
devMozao,WonderWanny,13
devMozao,ProfBrunoLopes,16
devMozao,Kaduzius,14
devMozao,Rychillie,15
devMozao,dunossauro,11
devMozao,clarisse_alvarenga,6
devMozao,RacerXDL,23
devMozao,bug_elseif,15
devMozao,vcwild,10
devMozao,paulorievrs_dev,3
devMozao,GliderSpace,6
devMozao,DevGiordane,9
devMozao,tozeos,0
devMozao,GiordaneOliveira,13
devMozao,isabellalealx,18
devMozao,ChicaoThiago,19
devMozao,pyx_dev,7
devMozao,xTecna,16
devMozao,Tonelive,11
devMozao,DaviBusanello,7
devMozao,edersondeveloper,14
devMozao,Seensh1,2
devMozao,Canturil,16
devMozao,Dininho,14
devMozao,NevascaXD,15
devMozao,CafeCodes,15
devMozao,Cerato_cone,15
devMozao,danielhe4rt,28
devMozao,CinderelaBugada,13
devMozao,pokemaobr,23
devMozao,PachiCodes,18
devMozao,LuisVonMuller,5
devMozao,levxyca,12
devMozao,kastr0walker,4
devMozao,BitToin,11
devMozao,grandedev,20
devMozao,isabellaherman,19
devMozao,aleDsz,7
devMozao,DornellesTv,8
devMozao,teomewhy,14
devMozao,CodigoFalado,15
devMozao,marcobrunodev,26
devMozao,xDIDAdev,18
devMozao,adorilson,3
devMozao,morgiovanelli,10
devMozao,npxbr,3
devMozao,jp_amis,14
devMozao,rafaballerinii,12
devMozao,julialabs,18
devMozao,little_yuuh,3
devMozao,lluan98,6
devMozao,NadoSeven,6
devMozao,GRSoares,11
devMozao,PaulosmLins,9
devMozao,italojs_,2
devMozao,ChicaoCodes,10
devMozao,Tearing5,12
devMozao,PunkDoDevOps,17
devMozao,primofrances,14
devMozao,purplepizza92,11
AdielSeffrin,dwtoledo,69
AdielSeffrin,WonderWanny,15
AdielSeffrin,ProfBrunoLopes,57
AdielSeffrin,Kaduzius,55
AdielSeffrin,Rychillie,20
AdielSeffrin,dunossauro,38
AdielSeffrin,clarisse_alvarenga,19
AdielSeffrin,RacerXDL,37
AdielSeffrin,bug_elseif,58
AdielSeffrin,vcwild,31
AdielSeffrin,paulorievrs_dev,7
AdielSeffrin,GliderSpace,14
AdielSeffrin,DevGiordane,24
AdielSeffrin,tozeos,0
AdielSeffrin,GiordaneOliveira,40
AdielSeffrin,isabellalealx,59
AdielSeffrin,ChicaoThiago,79
AdielSeffrin,pyx_dev,24
AdielSeffrin,xTecna,61
AdielSeffrin,Tonelive,30
AdielSeffrin,DaviBusanello,25
AdielSeffrin,edersondeveloper,42
AdielSeffrin,Seensh1,2
AdielSeffrin,Canturil,82
AdielSeffrin,Dininho,48
AdielSeffrin,NevascaXD,45
AdielSeffrin,CafeCodes,59
AdielSeffrin,Cerato_cone,28
AdielSeffrin,danielhe4rt,70
AdielSeffrin,CinderelaBugada,47
AdielSeffrin,pokemaobr,66
AdielSeffrin,PachiCodes,60
AdielSeffrin,LuisVonMuller,15
AdielSeffrin,levxyca,59
AdielSeffrin,kastr0walker,22
AdielSeffrin,BitToin,23
