Source,Target,Weight
paulo_caelum,AluraOnline,12096
paulo_caelum,loiane,8865
paulo_caelum,rocketseat,5402
paulo_caelum,dieegosf,5291
paulo_caelum,o_gabsferreira,9129
paulo_caelum,braziljs,6825
paulo_caelum,felipefialho_,5872
paulo_caelum,erikaheidi,1252
paulo_caelum,giovannibassi,5828
paulo_caelum,marcobrunodev,5449
paulo_caelum,naluhh,4031
paulo_caelum,Willian_justen,4567
paulo_caelum,badtux_,3872
paulo_caelum,ellenkorbes,1634
paulo_caelum,dii_lua,3151
paulo_caelum,quebradev,2695
paulo_caelum,danielhe4rt,1863
paulo_caelum,erickwendel_,3014
paulo_caelum,rochacbruno,2602
paulo_caelum,anabneri,3147
paulo_caelum,punkdodevops,1671
paulo_caelum,carlaprvieira,2436
paulo_caelum,eminetto,2752
paulo_caelum,WonderWanny,2537
paulo_caelum,lucas_montano,2171
paulo_caelum,willgmbr,3243
paulo_caelum,AlineBastos,2419
paulo_caelum,elemarjr,2734
paulo_caelum,pokemaobr,2678
paulo_caelum,otaviojava,1748
paulo_caelum,omariosouto,3612
paulo_caelum,gomex,2125
paulo_caelum,sseraphini,1401
paulo_caelum,elderjava,1100
paulo_caelum,dunossauro,2168
paulo_caelum,juuh42dias,2128
paulo_caelum,glaucia_lemos86,1965
paulo_caelum,laislima_dev,2208
paulo_caelum,shebangbash,1851
paulo_caelum,CodigoFalado,1458
paulo_caelum,adolfont,492
paulo_caelum,_StaticVoid,2038
paulo_caelum,psanrosa13,1850
paulo_caelum,_caaddss,1372
paulo_caelum,womakerscode,1038
paulo_caelum,pedrososleticia,1461
paulo_caelum,pgdinamica,946
paulo_caelum,kvarel4,384
paulo_caelum,pachicodes,623
paulo_caelum,ritalinux,1303
paulo_caelum,coproduto,802
paulo_caelum,marcelgsantos,1366
paulo_caelum,vedovelli74,1372
paulo_caelum,andrebaltieri,942
paulo_caelum,devMozao,1143
paulo_caelum,UnicornCoder,1196
