ID,Label,Count
paulo_caelum,paulo_caelum,34506
AluraOnline,AluraOnline,28022
loiane,loiane,26119
rocketseat,rocketseat,24754
dieegosf,dieegosf,18839
o_gabsferreira,o_gabsferreira,18639
braziljs,braziljs,18301
felipefialho_,felipefialho_,15679
erikaheidi,erikaheidi,14168
giovannibassi,giovannibassi,13718
marcobrunodev,marcobrunodev,12776
naluhh,naluhh,12113
Willian_justen,Willian_justen,10973
badtux_,badtux_,10803
ellenkorbes,ellenkorbes,10798
dii_lua,dii_lua,9478
quebradev,quebradev,9162
danielhe4rt,danielhe4rt,8737
erickwendel_,erickwendel_,8305
rochacbruno,rochacbruno,8209
anabneri,anabneri,8148
punkdodevops,punkdodevops,7601
carlaprvieira,carlaprvieira,7449
eminetto,eminetto,7318
WonderWanny,WonderWanny,7310
lucas_montano,lucas_montano,7153
willgmbr,willgmbr,6723
AlineBastos,AlineBastos,6671
elemarjr,elemarjr,6541
pokemaobr,pokemaobr,6513
otaviojava,otaviojava,6416
omariosouto,omariosouto,6357
gomex,gomex,6189
sseraphini,sseraphini,6026
elderjava,elderjava,5798
dunossauro,dunossauro,5625
juuh42dias,juuh42dias,5596
glaucia_lemos86,glaucia_lemos86,5446
laislima_dev,laislima_dev,5290
shebangbash,shebangbash,5244
CodigoFalado,CodigoFalado,4977
adolfont,adolfont,4673
_StaticVoid,_StaticVoid,4329
psanrosa13,psanrosa13,3780
_caaddss,_caaddss,3566
womakerscode,womakerscode,3524
pedrososleticia,pedrososleticia,3480
pgdinamica,pgdinamica,3275
kvarel4,kvarel4,3195
pachicodes,pachicodes,3176
ritalinux,ritalinux,3158
coproduto,coproduto,3040
marcelgsantos,marcelgsantos,3006
vedovelli74,vedovelli74,2867
andrebaltieri,andrebaltieri,2839
devMozao,devMozao,2745
UnicornCoder,UnicornCoder,2626
kamilah_santos,kamilah_santos,2543
luisleao,luisleao,2485
TheEduardoRFS,TheEduardoRFS,2430
bellesamways,bellesamways,2371
obetomuniz,obetomuniz,2328
devsjavagirl,devsjavagirl,2279
juligaioso,juligaioso,2264
ballerinirafa,ballerinirafa,2184
LauraViglioni,LauraViglioni,2137
devdrops,devdrops,2136
evlymn,evlymn,2132
morgiovanellis,morgiovanellis,2018
RenatoGroff,RenatoGroff,2015
jgcmarins,jgcmarins,1971
FabrciaDiniz,FabrciaDiniz,1966
filhodanuvem,filhodanuvem,1909
fiqueibarbara,fiqueibarbara,1874
nicholasess,nicholasess,1686
macorati,macorati,1673
levxyca,levxyca,1628
cviniciussdias,cviniciussdias,1573
rychillie,rychillie,1415
cantinhodamar,cantinhodamar,1341
reisdev,reisdev,1143
MichelliBrito4,MichelliBrito4,1131
womenthatreact,womenthatreact,1089
ellisonleao,ellisonleao,1043
marcuxyz,marcuxyz,868
csorlandi,csorlandi,850
TeoCalvo,TeoCalvo,846
campuscodebr,campuscodebr,838
juliobitencourt,juliobitencourt,764
otaviolemos,otaviolemos,753
monteiropatrick,monteiropatrick,686
nawarian,nawarian,684
fevir0,fevir0,604
rinaldodev,rinaldodev,534
_marcuspaulo,_marcuspaulo,512
iN127pkt,iN127pkt,447
jeffotoni,jeffotoni,424
viniciusfcf,viniciusfcf,394
thramosal,thramosal,385
Toramaru08_,Toramaru08_,344
_grsoares,_grsoares,335
suspecie,suspecie,313
tomtomkiel,tomtomkiel,297
marciofrayze,marciofrayze,286
frankyston,frankyston,277
fta_thiago,fta_thiago,277
neiesc,neiesc,259
jose_filho_dev,jose_filho_dev,243
vinicius_ah,vinicius_ah,229
andrewarosario,andrewarosario,217
_luistak,_luistak,205
FabricioVeronez,FabricioVeronez,204
2devspodcast,2devspodcast,201
universoflutter,universoflutter,153
MrOhanaBR,MrOhanaBR,150
DevSuperior,DevSuperior,131
LuizVictorLinh1,LuizVictorLinh1,116
adrianolcp,adrianolcp,112
luiiisfilipee,luiiisfilipee,103
leandroscardua,leandroscardua,73
jrjoacir,jrjoacir,70
wnqueiroz,wnqueiroz,56
lorenaporphirio,lorenaporphirio,50
dev_roadmap,dev_roadmap,27
alnetosilva,alnetosilva,20
eduwric,eduwric,16
